,PINCP
258,False
259,False
260,False
261,False
262,False
263,True
264,False
265,False
266,True
267,True
268,False
269,False
270,False
271,False
272,False
273,False
274,False
275,True
276,True
277,False
278,False
279,True
280,True
281,True
282,False
283,False
284,False
285,False
286,False
287,False
288,False
289,False
290,True
291,False
292,False
293,False
294,False
295,False
296,False
297,False
298,False
299,False
300,False
301,False
302,False
303,False
304,True
305,True
306,False
307,False
308,False
309,False
310,True
311,False
312,False
313,False
314,False
315,False
316,True
317,True
318,False
319,False
320,True
321,True
322,False
323,True
324,False
325,False
326,False
327,False
328,True
329,False
330,False
331,False
332,False
333,True
334,True
335,True
336,True
337,False
338,True
339,False
340,True
341,True
342,True
343,True
344,False
345,False
346,False
347,False
348,True
349,False
350,False
351,False
352,False
353,False
354,False
355,False
356,False
357,False
358,True
359,True
360,False
361,False
362,True
363,False
364,False
365,True
366,True
367,False
368,False
369,True
370,True
371,True
372,True
373,False
374,False
375,False
376,False
377,True
378,True
379,False
380,False
381,False
382,False
383,False
384,False
385,False
386,True
387,True
388,False
389,True
390,True
391,True
392,False
393,False
394,False
395,False
396,True
397,False
398,False
399,False
400,False
401,True
402,False
403,True
404,False
405,False
406,False
407,False
408,False
409,False
410,False
411,True
412,True
413,True
414,True
415,True
416,True
417,True
418,False
419,False
420,False
421,False
422,False
423,True
424,True
425,False
426,False
427,False
428,False
429,True
430,False
431,False
432,False
433,True
434,True
435,False
436,False
437,False
438,False
439,False
440,False
441,True
442,False
443,False
444,False
445,False
446,False
447,False
448,False
449,True
450,False
451,False
452,False
453,False
454,True
455,True
456,False
457,False
458,False
459,True
460,False
461,False
462,True
463,True
464,True
465,False
466,False
467,False
468,False
469,True
470,True
471,False
472,False
473,False
474,False
475,False
476,False
477,False
478,False
479,True
480,False
481,True
482,True
483,True
484,False
485,False
486,False
487,False
488,False
489,False
490,False
491,False
492,True
493,True
494,False
495,False
496,False
497,False
498,True
499,True
500,False
501,False
502,False
503,True
504,False
505,True
506,False
507,False
508,False
509,False
510,True
511,True
512,False
513,True
514,False
515,False
516,False
517,False
518,False
519,False
520,False
521,False
522,False
523,False
524,False
525,False
526,False
527,True
528,True
529,True
530,False
531,False
532,True
533,False
534,True
535,False
536,False
537,True
538,True
539,True
540,True
541,False
542,False
543,True
544,False
545,False
546,True
547,False
548,False
549,False
550,True
551,False
552,False
553,False
554,False
555,False
556,False
557,False
558,False
559,False
560,True
561,True
562,False
563,False
564,False
565,True
566,True
567,False
568,False
569,False
570,False
571,True
572,False
573,False
574,False
575,False
576,False
577,False
578,True
579,False
580,False
581,True
582,False
583,False
584,True
585,True
586,False
587,False
588,True
589,True
590,False
591,False
592,False
593,True
594,True
595,True
596,False
597,True
598,False
599,True
600,True
601,False
602,False
603,True
604,False
605,False
606,False
607,True
608,False
609,True
610,True
611,False
612,False
613,False
614,False
615,True
616,False
617,False
618,False
619,False
620,True
621,True
622,True
623,True
624,True
625,False
626,False
627,False
628,False
629,True
630,False
631,True
632,False
633,False
634,False
635,True
636,False
637,False
638,False
639,False
640,True
641,False
642,False
643,False
644,False
645,True
646,True
647,False
648,False
649,False
650,True
651,False
652,True
653,False
654,False
655,True
656,False
657,False
658,False
659,False
660,True
661,False
662,True
663,True
664,False
665,False
666,False
667,False
668,True
669,False
670,True
671,False
672,False
673,False
674,True
675,True
676,True
677,False
678,True
679,True
680,False
681,False
682,True
683,True
684,False
685,True
686,True
687,False
688,True
689,True
690,False
691,True
692,False
693,False
694,False
695,True
696,True
697,True
698,False
699,False
700,True
701,False
702,True
703,False
704,False
705,False
706,True
707,True
708,True
709,False
710,False
711,False
712,True
713,True
714,False
715,False
716,False
717,False
718,False
719,True
720,False
721,True
722,True
723,True
724,False
725,False
726,False
727,True
728,True
729,True
730,False
731,True
732,False
733,False
734,False
735,False
736,True
737,True
738,False
739,True
740,True
741,True
742,False
743,True
744,False
745,False
746,False
747,False
748,False
749,False
750,False
751,False
752,True
753,True
754,False
755,False
756,False
757,False
758,True
759,True
760,True
761,True
762,True
763,True
764,False
765,False
766,True
767,True
768,False
769,True
770,False
771,False
772,False
773,False
774,False
775,True
776,True
777,False
778,False
779,True
780,False
781,False
782,False
783,False
784,False
785,True
786,False
787,False
788,True
789,True
790,False
791,True
792,False
793,False
794,False
795,True
796,False
797,True
798,False
799,False
800,True
801,False
802,False
803,False
804,False
805,False
806,True
807,True
808,True
809,True
810,True
811,False
812,True
813,True
814,False
815,False
816,False
817,False
818,True
819,True
820,False
821,False
822,False
823,False
824,False
825,False
826,False
827,False
828,False
829,True
830,False
831,False
832,True
833,True
834,False
835,True
836,False
837,True
838,False
839,True
840,False
841,False
842,True
843,True
844,True
845,True
846,False
847,False
848,False
849,False
850,True
851,False
852,True
853,False
854,False
855,True
856,True
857,False
858,False
859,False
860,False
861,True
862,False
863,False
864,False
865,False
866,True
867,False
868,False
869,True
870,False
871,True
872,False
873,False
874,True
875,True
876,False
877,False
878,False
879,True
880,False
881,False
882,False
883,True
884,False
885,True
886,False
887,False
888,True
889,False
890,False
891,False
892,True
893,False
894,False
895,False
896,True
897,False
898,False
899,False
900,True
901,False
902,False
903,False
904,False
905,True
906,True
907,False
908,True
909,False
910,True
911,True
912,False
913,False
914,False
915,False
916,False
917,False
918,False
919,True
920,False
921,False
922,True
923,True
924,False
925,False
926,False
927,False
928,False
929,True
930,False
931,False
932,False
933,False
934,True
935,True
936,True
937,True
938,False
939,False
940,False
941,False
942,False
943,True
944,False
945,False
946,False
947,False
948,False
949,True
950,False
951,False
952,False
953,False
954,False
955,False
956,True
957,False
958,False
959,False
960,False
961,True
962,False
963,False
964,False
965,False
966,False
967,False
968,True
969,True
970,False
971,True
972,False
973,False
974,True
975,True
976,True
977,True
978,False
979,False
980,True
981,False
982,False
983,False
984,True
985,False
986,False
987,False
988,True
989,True
990,False
991,False
992,True
993,True
994,False
995,False
996,False
997,False
998,True
999,True
1000,False
1001,False
1002,True
1003,True
1004,True
1005,False
1006,False
1007,False
1008,True
1009,True
1010,False
1011,False
1012,True
1013,False
1014,True
1015,True
1016,False
1017,False
1018,False
1019,True
1020,True
1021,True
1022,True
1023,False
1024,False
1025,False
1026,True
1027,True
1028,False
1029,False
1030,False
1031,True
1032,False
1033,False
1034,True
1035,True
1036,True
1037,False
1038,True
1039,False
1040,False
1041,False
1042,False
1043,False
1044,True
1045,True
1046,True
1047,False
1048,True
1049,True
1050,True
1051,False
1052,False
1053,False
1054,True
1055,False
1056,True
1057,False
1058,True
1059,False
1060,False
1061,False
1062,False
1063,True
1064,True
1065,True
1066,True
1067,True
1068,False
1069,True
1070,False
1071,False
1072,False
1073,False
1074,False
1075,True
1076,False
1077,False
1078,False
1079,False
1080,False
1081,False
1082,True
1083,True
1084,True
1085,True
1086,True
1087,True
1088,True
1089,False
1090,True
1091,True
1092,False
1093,False
1094,False
1095,False
1096,False
1097,True
1098,False
1099,False
1100,False
1101,True
1102,False
1103,True
1104,True
1105,True
1106,True
1107,False
1108,False
1109,True
1110,False
1111,False
1112,False
1113,True
1114,False
1115,False
1116,True
1117,True
1118,False
1119,False
1120,False
1121,True
1122,True
1123,False
1124,False
1125,False
1126,False
1127,True
1128,False
1129,False
1130,True
1131,True
1132,False
1133,False
1134,False
1135,True
1136,True
1137,True
1138,False
1139,False
1140,False
1141,False
1142,False
1143,True
1144,False
1145,False
1146,False
1147,False
1148,True
1149,False
1150,False
1151,True
1152,False
1153,False
1154,False
1155,False
1156,True
1157,False
1158,True
1159,False
1160,False
1161,False
1162,False
1163,False
1164,False
1165,True
1166,False
1167,False
1168,False
1169,False
1170,False
1171,False
1172,False
1173,True
1174,True
1175,True
1176,False
1177,False
1178,True
1179,False
1180,False
1181,False
1182,False
1183,False
1184,True
1185,False
1186,False
1187,False
1188,False
1189,True
1190,True
1191,False
1192,False
1193,True
1194,True
1195,True
1196,True
1197,True
1198,True
1199,True
1200,True
1201,False
1202,False
1203,True
1204,True
1205,True
1206,True
1207,False
1208,True
1209,True
1210,False
1211,False
1212,False
1213,False
1214,False
1215,False
1216,False
1217,False
1218,True
1219,False
1220,True
1221,True
1222,True
1223,True
1224,True
1225,False
1226,True
1227,False
1228,True
1229,True
1230,False
1231,False
1232,False
1233,False
1234,False
1235,False
1236,False
1237,False
1238,True
1239,True
1240,False
1241,False
1242,True
1243,True
1244,False
1245,False
1246,False
1247,True
1248,True
1249,False
1250,False
1251,False
1252,False
1253,True
1254,True
1255,True
1256,False
1257,False
1258,False
1259,True
1260,False
1261,False
1262,False
1263,False
1264,True
1265,False
1266,False
1267,False
1268,False
1269,False
1270,False
1271,True
1272,False
1273,False
1274,False
1275,False
1276,False
1277,True
1278,True
1279,True
1280,False
1281,False
1282,True
1283,False
1284,False
1285,True
1286,False
1287,False
1288,False
1289,True
1290,True
1291,False
1292,False
1293,False
1294,False
1295,False
1296,True
1297,False
1298,False
1299,False
1300,False
1301,False
1302,False
1303,False
1304,False
1305,False
1306,False
1307,True
1308,False
1309,False
1310,False
1311,False
1312,False
1313,True
1314,True
1315,True
1316,False
1317,False
1318,True
1319,False
1320,False
1321,True
1322,False
1323,False
1324,False
1325,True
1326,True
1327,False
1328,False
1329,False
1330,False
1331,False
1332,False
1333,False
1334,False
1335,False
1336,True
1337,True
1338,False
1339,False
1340,False
1341,False
1342,True
1343,False
1344,True
1345,False
1346,False
1347,True
1348,False
1349,False
1350,True
1351,True
1352,True
1353,False
1354,False
1355,False
1356,False
1357,False
1358,False
1359,False
1360,False
1361,True
1362,False
1363,True
1364,False
1365,True
1366,True
1367,True
1368,False
1369,False
1370,False
1371,False
1372,True
1373,False
1374,False
1375,False
1376,True
1377,False
1378,False
1379,False
1380,True
1381,True
1382,False
1383,False
1384,False
1385,False
1386,False
1387,False
1388,False
1389,True
1390,False
1391,False
1392,True
1393,False
1394,False
1395,False
1396,False
1397,True
1398,False
1399,True
1400,True
1401,False
1402,False
1403,False
1404,False
1405,True
1406,False
1407,True
1408,False
1409,False
1410,False
1411,True
1412,True
1413,False
1414,False
1415,False
1416,False
1417,True
1418,False
1419,False
1420,False
1421,False
1422,True
1423,True
1424,False
1425,True
1426,True
1427,False
1428,False
1429,False
1430,False
1431,False
1432,True
1433,True
1434,True
1435,True
1436,False
1437,False
1438,False
1439,False
1440,True
1441,False
1442,True
1443,False
1444,True
1445,False
1446,False
1447,False
1448,True
1449,True
1450,True
1451,True
1452,True
1453,True
1454,False
1455,False
1456,False
1457,True
1458,False
1459,False
1460,False
1461,True
1462,True
1463,True
1464,True
1465,False
1466,False
1467,True
1468,True
1469,True
1470,False
1471,False
1472,True
1473,True
1474,True
1475,False
1476,False
1477,False
1478,False
1479,False
1480,False
1481,False
1482,False
1483,False
1484,False
1485,True
1486,True
1487,True
1488,True
1489,True
1490,False
1491,True
1492,False
1493,False
1494,False
1495,False
1496,True
1497,True
1498,False
1499,False
1500,False
1501,False
1502,False
1503,False
1504,False
1505,False
1506,False
1507,False
1508,False
1509,False
1510,False
1511,False
1512,False
1513,True
1514,False
1515,False
1516,False
1517,False
1518,True
1519,False
1520,False
1521,False
1522,False
1523,False
1524,False
1525,False
1526,True
1527,False
1528,False
1529,False
1530,False
1531,False
1532,False
1533,False
1534,True
1535,True
1536,True
1537,False
1538,False
1539,True
1540,False
1541,False
1542,False
1543,False
1544,False
1545,False
1546,False
1547,False
1548,False
1549,True
1550,False
1551,True
1552,False
1553,False
1554,True
1555,False
1556,True
1557,False
1558,True
1559,True
1560,False
1561,True
1562,True
1563,False
1564,True
1565,False
1566,False
1567,True
1568,False
1569,False
1570,True
1571,True
1572,False
1573,False
1574,False
1575,False
1576,True
1577,False
1578,False
1579,True
1580,False
1581,False
1582,False
1583,False
1584,False
1585,True
1586,False
1587,False
1588,False
1589,False
1590,False
1591,False
1592,False
1593,False
1594,False
1595,True
1596,True
1597,True
1598,False
1599,False
1600,False
1601,False
1602,True
1603,True
1604,False
1605,False
1606,True
1607,True
1608,True
1609,True
1610,False
1611,False
1612,False
1613,False
1614,False
1615,True
1616,False
1617,False
1618,False
1619,False
1620,False
1621,False
1622,False
1623,True
1624,True
1625,True
1626,False
1627,False
1628,False
1629,True
1630,False
1631,False
1632,False
1633,False
1634,False
1635,False
1636,True
1637,True
1638,False
1639,False
1640,True
1641,True
1642,False
1643,False
1644,False
1645,True
1646,True
1647,False
1648,False
1649,False
1650,False
1651,True
1652,False
1653,False
1654,False
1655,False
1656,False
1657,False
1658,True
1659,True
1660,True
1661,True
1662,False
1663,True
1664,True
1665,True
1666,False
1667,False
1668,False
1669,False
1670,False
1671,False
1672,True
1673,True
1674,True
1675,False
1676,False
1677,False
1678,False
1679,False
1680,False
1681,False
1682,True
1683,True
1684,False
1685,False
1686,True
1687,False
1688,False
1689,False
1690,False
1691,False
1692,True
1693,False
1694,False
1695,False
1696,False
1697,False
1698,False
1699,False
1700,False
1701,False
1702,False
1703,False
1704,False
1705,True
1706,True
1707,False
1708,False
1709,False
1710,False
1711,False
1712,True
1713,True
1714,True
1715,False
1716,True
1717,False
1718,False
1719,True
1720,False
1721,False
1722,True
1723,False
1724,True
1725,True
1726,True
1727,True
1728,True
1729,True
1730,False
1731,False
1732,False
1733,False
1734,False
1735,True
1736,True
1737,True
1738,True
1739,True
1740,False
1741,False
1742,True
1743,False
1744,True
1745,True
1746,False
1747,True
1748,True
1749,False
1750,True
1751,False
1752,True
1753,False
1754,False
1755,False
1756,False
1757,True
1758,False
1759,True
1760,True
1761,True
1762,False
1763,False
1764,True
1765,False
1766,False
1767,True
1768,True
1769,False
1770,False
1771,True
1772,True
1773,False
1774,True
1775,False
1776,False
1777,True
1778,True
1779,True
1780,False
1781,False
1782,False
1783,False
1784,False
1785,False
1786,False
1787,False
1788,False
1789,False
1790,False
1791,False
1792,False
1793,False
1794,True
1795,True
1796,False
1797,True
1798,True
1799,False
1800,True
1801,True
1802,False
1803,True
1804,False
1805,False
1806,False
1807,False
1808,True
1809,True
1810,False
1811,False
1812,False
1813,False
1814,True
1815,False
1816,False
1817,False
1818,False
1819,False
1820,False
1821,False
1822,False
1823,True
1824,True
1825,False
1826,True
1827,False
1828,False
1829,True
1830,True
1831,False
1832,False
1833,False
1834,False
1835,False
1836,False
1837,True
1838,True
1839,False
1840,True
1841,False
1842,False
1843,True
1844,True
1845,False
1846,False
1847,False
1848,False
1849,True
1850,False
1851,False
1852,True
1853,True
1854,True
1855,True
1856,False
1857,True
1858,True
1859,False
1860,False
1861,False
1862,True
1863,False
1864,False
1865,False
1866,False
1867,False
1868,False
1869,False
1870,False
1871,False
1872,False
1873,False
1874,False
1875,False
1876,False
1877,True
1878,True
1879,False
1880,True
1881,True
1882,False
1883,False
1884,False
1885,False
1886,False
1887,False
1888,True
1889,False
1890,False
1891,False
1892,True
1893,True
1894,False
1895,False
1896,False
1897,True
1898,True
1899,False
1900,True
1901,False
1902,False
1903,True
1904,False
1905,False
1906,False
1907,False
1908,False
1909,False
1910,False
1911,False
1912,False
1913,False
1914,False
1915,False
1916,False
1917,False
1918,False
1919,False
1920,True
1921,False
1922,False
1923,False
1924,False
1925,False
1926,False
1927,False
1928,False
1929,False
1930,True
1931,False
1932,False
1933,True
1934,True
1935,False
1936,True
1937,False
1938,False
1939,False
1940,False
1941,False
1942,False
1943,False
1944,False
1945,False
1946,True
1947,False
1948,True
1949,False
1950,True
1951,True
1952,True
1953,False
1954,False
1955,False
1956,True
1957,False
1958,False
1959,False
1960,False
1961,True
1962,False
1963,False
1964,False
1965,False
1966,True
1967,True
1968,False
1969,True
1970,False
1971,False
1972,False
1973,True
1974,False
1975,False
1976,True
1977,True
1978,False
1979,False
1980,False
1981,True
1982,False
1983,True
1984,False
1985,False
1986,False
1987,True
1988,True
1989,False
1990,False
1991,False
1992,False
1993,False
1994,True
1995,False
1996,False
1997,False
1998,False
1999,True
2000,False
2001,True
2002,True
2003,False
2004,False
2005,False
2006,True
2007,False
2008,False
2009,False
2010,True
2011,True
2012,True
2013,False
2014,True
2015,False
2016,False
2017,False
2018,True
2019,False
2020,False
2021,True
2022,True
2023,True
2024,True
2025,True
2026,True
2027,True
2028,True
2029,True
2030,False
2031,True
2032,True
2033,True
2034,True
2035,False
2036,False
2037,True
2038,True
2039,False
2040,False
2041,False
2042,False
2043,False
2044,True
2045,False
2046,False
2047,True
2048,False
2049,False
2050,False
2051,True
2052,True
2053,False
2054,False
2055,True
2056,True
2057,False
2058,False
2059,False
2060,False
2061,True
2062,False
2063,False
2064,False
2065,False
2066,False
2067,False
2068,False
2069,True
2070,False
2071,False
2072,False
2073,False
2074,False
2075,True
2076,False
2077,True
2078,False
2079,False
2080,False
2081,True
2082,False
2083,False
2084,False
2085,False
2086,False
2087,False
2088,False
2089,False
2090,True
2091,False
2092,False
2093,True
2094,True
2095,True
2096,False
2097,False
2098,True
2099,False
2100,False
2101,False
2102,True
2103,True
2104,True
2105,False
2106,False
2107,True
2108,False
2109,True
2110,True
2111,False
2112,False
2113,False
2114,False
2115,False
2116,False
2117,False
2118,True
2119,False
2120,True
2121,False
2122,False
2123,False
2124,False
2125,False
2126,False
2127,False
2128,True
2129,False
2130,True
2131,False
2132,True
2133,False
2134,False
2135,False
2136,True
2137,False
2138,False
2139,False
2140,False
2141,False
2142,False
2143,True
2144,True
2145,False
2146,True
2147,False
2148,True
2149,True
2150,False
2151,False
2152,False
2153,True
2154,True
2155,True
2156,True
2157,True
2158,True
2159,False
2160,True
2161,True
2162,False
2163,False
2164,False
2165,True
2166,True
2167,False
2168,True
2169,True
2170,False
2171,True
2172,False
2173,False
2174,False
2175,True
2176,False
2177,True
2178,True
2179,False
2180,True
2181,True
2182,False
2183,True
2184,False
2185,False
2186,False
2187,False
2188,False
2189,False
2190,False
2191,True
2192,False
2193,False
2194,False
2195,True
2196,True
2197,False
2198,False
2199,True
2200,False
2201,False
2202,True
2203,False
2204,False
2205,True
2206,False
2207,False
2208,False
2209,False
2210,True
2211,False
2212,False
2213,False
2214,True
2215,False
2216,True
2217,False
2218,True
2219,False
2220,False
2221,False
2222,False
2223,False
2224,False
2225,True
2226,True
2227,False
2228,False
2229,True
2230,True
2231,False
2232,True
2233,True
2234,False
2235,False
2236,False
2237,False
2238,False
2239,False
2240,True
2241,False
2242,False
2243,True
2244,True
2245,False
2246,False
2247,True
2248,True
2249,False
2250,False
2251,True
2252,True
2253,True
2254,True
2255,False
2256,False
2257,False
2258,True
2259,True
2260,False
2261,False
2262,True
2263,True
2264,False
2265,False
2266,False
2267,False
2268,False
2269,False
2270,True
2271,True
2272,False
2273,False
2274,False
2275,True
2276,True
2277,True
2278,False
2279,False
2280,True
2281,False
2282,True
2283,True
2284,True
2285,True
2286,False
2287,False
2288,False
2289,False
2290,False
2291,False
2292,False
2293,False
2294,False
2295,False
2296,False
2297,False
2298,False
2299,True
2300,False
2301,True
2302,False
2303,True
2304,False
2305,False
2306,True
2307,True
2308,False
2309,False
2310,False
2311,True
2312,False
2313,False
2314,False
2315,False
2316,False
2317,False
2318,False
2319,False
2320,False
2321,True
2322,False
2323,True
2324,False
2325,False
2326,False
2327,False
2328,False
2329,False
2330,False
2331,False
2332,False
2333,False
2334,False
2335,False
2336,True
2337,True
2338,True
2339,True
2340,True
2341,False
2342,True
2343,False
2344,False
2345,False
2346,False
2347,False
2348,False
2349,False
2350,False
2351,False
2352,True
2353,False
2354,False
2355,True
2356,True
2357,False
2358,False
2359,False
2360,False
2361,True
2362,False
2363,False
2364,True
2365,True
2366,True
2367,False
2368,True
2369,False
2370,False
2371,True
2372,True
2373,True
2374,False
2375,True
2376,False
2377,False
2378,False
2379,False
2380,True
2381,True
2382,False
2383,False
2384,True
2385,False
2386,False
2387,False
2388,True
2389,False
2390,False
2391,True
2392,False
2393,False
2394,False
2395,False
2396,False
2397,False
2398,False
2399,True
2400,False
2401,True
2402,False
2403,False
2404,True
2405,False
2406,False
2407,False
2408,False
2409,True
2410,True
2411,True
2412,False
2413,True
2414,False
2415,False
2416,False
2417,False
2418,True
2419,False
2420,False
2421,False
2422,False
2423,True
2424,False
2425,False
2426,False
2427,False
2428,True
2429,True
2430,True
2431,True
2432,False
2433,True
2434,True
2435,False
2436,False
2437,False
2438,False
2439,True
2440,False
2441,False
2442,True
2443,False
2444,False
2445,False
2446,False
2447,False
2448,True
2449,True
2450,False
2451,False
2452,False
2453,True
2454,True
2455,False
2456,False
2457,False
2458,True
2459,False
2460,False
2461,False
2462,False
2463,False
2464,True
2465,False
2466,False
2467,False
2468,False
2469,False
2470,True
2471,False
2472,True
2473,True
2474,True
2475,True
2476,True
2477,False
2478,True
2479,True
2480,False
2481,False
2482,False
2483,False
2484,True
2485,True
2486,True
2487,True
2488,False
2489,False
2490,False
2491,False
2492,False
2493,False
2494,False
2495,False
2496,True
2497,False
2498,False
2499,True
2500,True
2501,False
2502,False
2503,True
2504,True
2505,False
2506,False
2507,False
2508,False
2509,False
2510,False
2511,False
2512,False
2513,True
2514,False
2515,False
2516,False
2517,False
2518,False
2519,False
2520,False
2521,True
2522,True
2523,False
2524,True
2525,False
2526,True
2527,False
2528,False
2529,False
2530,False
2531,True
2532,False
2533,True
2534,False
2535,False
2536,True
2537,False
2538,False
2539,False
2540,True
2541,True
2542,True
2543,True
2544,True
2545,False
2546,False
2547,False
2548,False
2549,False
2550,True
2551,False
2552,True
2553,True
2554,False
2555,True
2556,False
2557,False
2558,True
2559,True
2560,False
2561,False
2562,True
2563,False
2564,False
2565,False
2566,True
2567,True
2568,False
2569,False
2570,False
2571,False
2572,False
2573,False
2574,True
2575,False
2576,False
2577,False
2578,False
2579,False
2580,False
2581,False
2582,False
2583,True
2584,True
2585,False
2586,False
2587,True
2588,False
2589,True
2590,False
2591,True
2592,True
2593,True
2594,False
2595,True
2596,False
2597,False
2598,True
2599,False
2600,False
2601,False
2602,False
2603,True
2604,False
2605,True
2606,True
2607,False
2608,False
2609,True
2610,False
2611,False
2612,False
2613,False
2614,False
2615,False
2616,True
2617,True
2618,True
2619,False
2620,False
2621,True
2622,False
2623,True
2624,False
2625,False
2626,False
2627,False
2628,False
2629,True
2630,True
2631,False
2632,True
2633,False
2634,True
2635,False
2636,False
2637,False
2638,False
2639,True
2640,False
2641,True
2642,False
2643,False
2644,False
2645,False
2646,True
2647,True
2648,False
2649,True
2650,False
2651,True
2652,True
2653,False
2654,True
2655,False
2656,True
2657,False
2658,False
2659,True
2660,False
2661,True
2662,False
2663,False
2664,True
2665,False
2666,True
2667,False
2668,False
2669,False
2670,False
2671,False
2672,False
2673,False
2674,False
2675,False
2676,True
2677,True
2678,False
2679,True
2680,True
2681,True
2682,True
2683,True
2684,False
2685,False
2686,True
2687,False
2688,False
2689,False
2690,False
2691,True
2692,True
2693,True
2694,False
2695,False
2696,False
2697,False
2698,False
2699,False
2700,False
2701,True
2702,True
2703,False
2704,True
2705,True
2706,False
2707,False
2708,True
2709,False
2710,True
2711,False
2712,False
2713,False
2714,False
2715,False
2716,True
2717,False
2718,False
2719,False
2720,False
2721,True
2722,True
2723,False
2724,False
2725,False
2726,True
2727,False
2728,False
2729,True
2730,True
2731,False
2732,False
2733,False
2734,False
2735,True
2736,False
2737,False
2738,True
2739,False
2740,False
2741,False
2742,True
2743,False
2744,True
2745,False
2746,False
2747,False
2748,False
2749,False
2750,False
2751,True
2752,False
2753,False
2754,True
2755,False
2756,True
2757,False
2758,False
2759,False
2760,False
2761,True
2762,False
2763,False
2764,False
2765,False
2766,True
2767,True
2768,True
2769,False
2770,True
2771,True
2772,True
2773,False
2774,False
2775,True
2776,True
2777,False
2778,False
2779,False
2780,True
2781,True
2782,True
2783,False
2784,False
2785,True
2786,True
2787,True
2788,False
2789,False
2790,True
2791,False
2792,True
2793,True
2794,False
2795,True
2796,False
2797,False
2798,False
2799,False
2800,False
2801,False
2802,True
2803,True
2804,False
2805,False
2806,False
2807,False
2808,False
2809,False
2810,False
2811,True
2812,False
2813,False
2814,False
2815,False
2816,True
2817,True
2818,False
2819,True
2820,True
2821,False
2822,False
2823,True
2824,True
2825,True
2826,False
2827,False
2828,False
2829,False
2830,True
2831,False
2832,False
2833,True
2834,False
2835,False
2836,True
2837,False
2838,True
2839,True
2840,False
2841,True
2842,True
2843,True
2844,False
2845,True
2846,False
2847,True
2848,False
2849,True
2850,False
2851,False
2852,False
2853,False
2854,False
2855,False
2856,False
2857,False
2858,False
2859,True
2860,True
2861,True
2862,False
2863,False
2864,False
2865,False
2866,False
2867,True
2868,False
2869,True
2870,True
2871,True
2872,False
2873,False
2874,True
2875,False
2876,True
2877,True
2878,True
2879,False
2880,True
2881,True
2882,True
2883,False
2884,False
2885,False
2886,False
2887,True
2888,False
2889,True
2890,True
2891,True
2892,True
2893,False
2894,False
2895,True
2896,False
2897,False
2898,True
2899,False
2900,False
2901,False
2902,True
2903,False
2904,False
2905,True
2906,False
2907,False
2908,False
2909,False
2910,True
2911,True
2912,False
2913,False
2914,False
2915,False
2916,False
2917,True
2918,False
2919,False
2920,False
2921,False
2922,True
2923,True
2924,True
2925,False
2926,False
2927,False
2928,False
2929,False
2930,False
2931,True
2932,False
2933,False
2934,True
2935,True
2936,False
2937,True
2938,True
2939,True
2940,False
2941,False
2942,True
2943,True
2944,False
2945,False
2946,False
2947,True
2948,False
2949,False
2950,False
2951,False
2952,True
2953,False
2954,True
2955,True
2956,False
2957,True
2958,True
2959,False
2960,False
2961,False
2962,False
2963,True
2964,False
2965,False
2966,False
2967,False
2968,False
2969,False
2970,False
2971,False
2972,True
2973,False
2974,True
2975,True
2976,False
2977,False
2978,True
2979,False
2980,True
2981,False
2982,False
2983,True
2984,True
2985,False
2986,False
2987,False
2988,True
2989,False
2990,False
2991,False
2992,False
2993,False
2994,False
2995,False
2996,False
